"TEMP","Ozone","COUNTY"
66.8,0.037,"DeKalb"
70.2,0.065,"DeKalb"
71,0.059,"DeKalb"
70.7,0.041,"DeKalb"
68.9,0.014,"DeKalb"
58.2,0.023,"DeKalb"
47.3,0.022,"DeKalb"
44.8,0.022,"DeKalb"
48.6,0.018,"DeKalb"
53.9,0.022,"DeKalb"
58.5,0.043,"DeKalb"
60.1,0.04,"DeKalb"
60.4,0.039,"DeKalb"
62.1,0.052,"DeKalb"
64.9,0.048,"DeKalb"
66.7,0.047,"DeKalb"
67.9,0.038,"DeKalb"
63.7,0.045,"DeKalb"
65.5,0.052,"DeKalb"
65.7,0.053,"DeKalb"
67.2,0.051,"DeKalb"
67.6,0.067,"DeKalb"
65.6,0.046,"DeKalb"
67.4,0.067,"DeKalb"
66.7,0.054,"DeKalb"
67.3,0.052,"DeKalb"
68.6,0.058,"DeKalb"
66.4,0.046,"DeKalb"
65.8,0.03,"DeKalb"
68.1,0.025,"DeKalb"
58.7,0.044,"Fulton"
57.7,0.038,"Fulton"
55.9,0.037,"Fulton"
54.5,0.026,"Fulton"
53.7,0.041,"Fulton"
59.4,0.041,"Fulton"
63.1,0.061,"Fulton"
66,0.074,"Fulton"
64.5,0.04,"Fulton"
65.8,0.019,"Fulton"
62.2,0.024,"Fulton"
43.4,0.037,"Fulton"
44,0.037,"Fulton"
50.6,0.046,"Fulton"
56.2,0.054,"Fulton"
61.3,0.036,"Fulton"
59.8,0.03,"Fulton"
47.8,0.033,"Fulton"
46.7,0.035,"Fulton"
55,0.043,"Fulton"
53.3,0.037,"Fulton"
60.5,0.044,"Fulton"
61.1,0.044,"Fulton"
64.8,0.055,"Fulton"
66.4,0.055,"Fulton"
58.3,0.026,"Fulton"
56,0.057,"Fulton"
54.7,0.026,"Fulton"
55.5,0.029,"Fulton"
61.3,0.052,"Fulton"
63.6,0.059,"Fulton"
62.8,0.033,"Fulton"
67.1,0.03,"Fulton"
53.5,0.042,"Fulton"
58.7,0.057,"Fulton"
63,0.045,"Fulton"
57.8,0.032,"Fulton"
43.9,0.044,"Fulton"
55.1,0.05,"Fulton"
61.6,0.055,"Fulton"
63.7,0.028,"Fulton"
56.4,0.026,"Fulton"
46.2,0.018,"Fulton"
56.2,0.031,"Fulton"
64,0.048,"Fulton"
66.9,0.049,"Fulton"
56.8,0.041,"Fulton"
61.5,0.045,"Fulton"
68.9,0.064,"Fulton"
63.6,0.041,"Fulton"
54.2,0.053,"Fulton"
57.7,0.045,"Fulton"
58.2,0.026,"Fulton"
56.4,0.029,"Fulton"
56.7,0.054,"Fulton"
60.4,0.072,"Fulton"
59.1,0.05,"Fulton"
60,0.073,"Fulton"
62.3,0.082,"Fulton"
66.6,0.073,"Fulton"
69.4,0.068,"Fulton"
71.4,0.063,"Fulton"
68.2,0.056,"Fulton"
70.1,0.06,"Fulton"
71.7,0.056,"Fulton"
73.4,0.064,"Fulton"
73.7,0.057,"Fulton"
73.9,0.055,"Fulton"
73.3,0.05,"Fulton"
72.2,0.058,"Fulton"
76.3,0.045,"Fulton"
77.8,0.056,"Fulton"
71.4,0.07,"Fulton"
65.7,0.074,"Fulton"
68.2,0.074,"Fulton"
72.2,0.065,"Fulton"
76.8,0.068,"Fulton"
76.5,0.052,"Fulton"
75.8,0.052,"Fulton"
72.2,0.042,"Fulton"
69.2,0.06,"Fulton"
72,0.062,"Fulton"
78.7,0.05,"Fulton"
79.5,0.047,"Fulton"
74.7,0.041,"Fulton"
78.8,0.039,"Fulton"
76.3,0.051,"Fulton"
69.2,0.05,"Fulton"
67.6,0.065,"Fulton"
69.7,0.08,"Fulton"
75.4,0.107,"Fulton"
79.2,0.086,"Fulton"
80,0.089,"Fulton"
75.8,0.04,"Fulton"
71.7,0.031,"Fulton"
67.4,0.05,"Fulton"
65.6,0.071,"Fulton"
70.3,0.077,"Fulton"
74.7,0.101,"Fulton"
78,0.08,"Fulton"
79.1,0.076,"Fulton"
80.7,0.073,"Fulton"
81.2,0.05,"Fulton"
81.5,0.053,"Fulton"
